Time,04/10/2025 Northbound,04/10/2025 Southbound,,,,,,,,,,,,,,,,,
0:00,12,60,,,,,,,,,,,,,,,,,
1:00,3,21,,,,,,,,,,,,,,,,,
2:00,5,32,,,,,,,,,,,,,,,,,
3:00,13,36,,,,,,,,,,,,,,,,,
4:00,5,38,,,,,,,,,,,,,,,,,
5:00,18,124,,,,,,,,,,,,,,,,,
6:00,12,231,,,,,,,,,,,,,,,,,
7:00,32,478,2622,,,,,,,,,,,,,,,,
8:00,49,589,,,,,,,,,,,,,,,,,
9:00,51,603,,,,,,,,,,,,,,,,,
10:00,56,597,,,,,,,,,,,,,,,,,
11:00,62,614,,,,,,,,,,,,,,,,,
12:00,56,592,,,,,,,,,,,,,,,,,
13:00,52,735,,,,,,,,,,,,,,,,,
14:00,72,700,,,,,,,,,,,,,,,,,
15:00,58,848,,,,,,,,,,,,,,,,,
16:00,51,836,,,,,,,,,,,,,,,,,
17:00,65,823,,,NB: Average Vehicle Volume ,41.95833333,,,SB: Average Vehicle Volume,438.375,,,,,,,,,
18:00,47,736,,,NB: Min vehicle volume,3,,,SB: Min vehicle volume,21,,,,,,,,,
19:00,49,565,,,NB: Max vehicle volume,80,,,SB: Max vehicle volume,848,,,,,,,,,
20:00,64,405,,,,,,,,,,,,,,,,,
21:00,80,372,,,Cycle Length Matrix,,,,Key Performance Indicator,Peak Volume - Highest Direction,,,,,,,,,
22:00,61,290,,,Vehicle Traffic Demand,CVAG Suggested Cycle Length,,,Direction,SB,,,,,,,,,
23:00,34,196,,,over 300 vph per direction (combined),110 sec,,,Time Range,07:00 - 09:00 ,Cycle lengths start at 7:00 AM since 478 vol meets cycle length threshold,,,,,,,,
,,,,,over 600 vph per direction (combined),120 sec,,,Total Volume,1670,,,,,,,,,
,,10521,,,over 1500 vph per direction (combined),130 sec,,,Cycle Length,120,"=IF(OR(C9>600,C10>600,C11>600),120,IF(OR(C9>300,C10>300,C11>300),110,""Below Threshold""))",,,,,,,,
,,,,,over 2400 vph per direction (combined) ,140sec,,,,,,,,,,,,,
,,,,,,,,,"If any of C9, C10, or C11 > 600, recommend 120 seconds",,,,,,,,,,
,,,,,Settings,,,,If below 600vph recommend 110 sec,,,,,,,,,,
,,,,,Category,Vehicle Vol,,,"Else if any > 300, recommend 110 seconds",,,,,,,,,,
,,,,,Direction,SB and NB,,,"Else, show ""Below Threshold""",,,,,,,,,,
,,,,,Selected Date Range,10-Apr,,,,,,,,,,,,,
,,,,,Chart Time ,Line,,,In this case,,,,,,,,,,
,,,,,,,,,C9 = 478,,,,,,,,,,
,,,,,,,,,C10 = 589,,,,,,,,,,
,,,,,,,,,C11 = 603,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,TRUE,Get rid of Cycle length Rec,,,,,,,,,,,,,,
,,,,FALSE,Peak Period can be put into KPI2 table,rename,,,,,,,,,,,,,
,,,,FALSE,Total period vol arrangement ,,,,,,,,,,,,,,
,,,,FALSE,CV Sync Logo ,Add ,,,,,,,,,,,,,
,,,,FALSE,Label where data is coming from ,data source,,,,,,,,,,,,,
,,,,FALSE,Label the top 5 labels ,"Cars, MPH, Min",,,,,,,,,,,,,
,,,,TRUE,Recommended cycle length,,,,,,,,,,,,,,
,,,,FALSE,Side by side existing vs recommended cycle length,can be same table if poss,,,,,,,,,,,,,
,,,,FALSE,"Title ""Suggested cycle length table - hourly""",KPI 1,,,,,,,,,,,,,
,,,,FALSE,Stats labels,Label the stats with unit type,,,,,,,,,,,,,
